id	isbn	name	author	publishing	publisheddate	price	pages	allnum
1	9787508644615	西方将主宰多久:东方为什么会落后-西方为什么能崛起	莫里斯	中信	2014	69	100	2
2	9787508651880	创京东:刘强东亲述创业之路	李志刚	中信	2015	49.8	100	2
3	9787535789273	七堂极简物理课	罗韦利	湖南科技	2016	39	100	2
4	9787505736719	罗辑思维:中国为什么有前途	罗振宇	中国友谊	2016	42	100	2
5	9787550262393	永不后退	泰森.斯洛曼	北京联合	2016	68	100	2
6	9787508646626	周鸿祎自述:我的互联网方法论	周鸿祎	中信	2014	45	100	2
7	9787010148090	读懂中国股市	董少鹏	人民	2015	48	100	2
8	9787101116786	重读先烈诗章	中共中央宣传部宣传教育局编	中华书局	2016	26	100	2
9	9787508647357	人类简史:从动物到上帝	 以)尤瓦尔.赫拉利	中信	2014	68	100	2
10	9787511530561	习近平用典	人民日报评论部	人民日报	2015	39	100	2
11	9787020110032	抗日战争.第一卷	王树增	人民文学	2015	66	100	2
12	9787802419889	中国的现实与超现实	雷颐	语文	2015	35	100	2
13	9787218109145	鸿观	宋鸿兵	广东人民	2016	49.9	100	2
14	9787101111002	晚明大变局	樊树志	中华书局	2015	58	100	2
15	9787101109733	故宫营造	单士元	中华书局	2015	56	100	2
16	9787010159041	两学一做学习教育手册	本书编写组	人民	2016	28	100	2
17	9787101113464	重读抗战家书	中央宣传部宣传教育局	中华书局	2015	18	100	2
18	9787010160733	总体国家安全观干部读本	总体国家安全观干部读本编委会	人民	2016	45	100	2
19	9787509837412	中国共产党的九十年全三册 	中共中央党史研究室	中共党史	2016	150	100	2
20	9787208138551	打铁还需自身硬--今天如何做一名共产党员	曾峻.朱亮高	上海人民	2016	28	100	2
21	9787506079037	郎咸平说:中国经济的旧制度与新常态	郎咸平	人民	2012	39	100	2
22	9787116082106	温家宝地质笔记	温家宝	地质	2016	86	100	2
23	9787508647258	21世纪资本论	托马斯.皮凯蒂	中信	2014	98	100	2
24	9787115425034	滴滴:分享经济改变中国	程维.张晓峰	人民邮电	2016	58	100	2
25	9787108052926	中华文明的核心价值:国学流变与传统价值观	陈来	三联书店	2015	38	100	2
26	9787229092504	最寒冷的冬天Ⅳ:日本人眼中的朝鲜战争上下 	儿岛襄	重庆	2015	78	100	2
27	9787503474712	燃灯者增补版 	赵越胜	中国文史	2016	42	100	2
28	9787556107568	谢谢你	松浦弥太郎		2015	32	100	2
29	9787508656151	匠人精神:一流人才育成的30条法则	秋山利辉	中信	2015	36	100	2
30	9787108052957	楚亡:从项羽到韩信	李开元	三联书店	2015	45	100	2
31	9787308155717	西藏生死书:一日一课	索甲仁波切	浙江大学	2016	39.8	100	2
32	9787010158242	中国供给侧结构性改革	国家行政学院经济学教研部	人民	2016	39	100	2
33	9787513316248	人生永远没有太晚的开始	摩西奶奶	新星	2014	39.8	100	2
34	9787508651781	互联网+:国家战略行动路线图	马化腾等	中信	2015	58	100	2
35	9787535488510	行者	六小龄童	长江文艺	2016	39.8	100	2
36	9787564219352	时寒冰说:未来二十年 经济大趋势未来篇 	时寒冰	上海财大	2014	59.8	100	2
37	9787505729230	一切都是最好的安排	加措	中国友谊	2014	39.8	100	2
38	9787213071836	中国新理念:五大发展	胡鞍钢	浙江人民	2016	30	100	2
39	9787506090537	马克思主义--赞成与反对	海尔布隆纳	人民	2016	35	100	2
40	9787550247659	金一南讲:世界大格局-中国有态度	金一南	北京联合	2015	42	100	2
41	9787513903509	耶鲁撒冷三千年	蒙蒂菲奥里	民主与建设	2014	78	100	2
42	9787208131057	德政之要--资治通鉴中的智慧	姜鹏	上海人民	2015	38	100	2
43	9787506089012	供给侧改革	滕泰.范必	人民	2016	48	100	2
44	9787500095453	丁玲传全二册 	李向东.王增如	大 百 科	2015	128	100	2
45	9787508636399	小趋势2015:读懂新常态	吴敬琏	中信	2015	45	100	2
46	9787508653822	人生真相:米歇尔·奥巴马传	斯莱文	中信	2015	59	100	2
47	9787508086637	中国通史.伍--明清	卜宪群	华夏	2016	62	100	2
48	9787508652047	谁将主宰世界:支配世界的思想和权力	马佐尔	中信	2015	65	100	2
49	9787508650487	读懂中国改革3.新常态下的变革与决策	厉以宁.吴敬琏.周其仁	中信	2015	45	100	2
50	9787508086644	中国通史.贰--秦汉魏晋南北朝	卜宪群	华夏	2016	68	100	2
51	9787549564286	说中国:一个不断变化的复杂共同体	许倬云	广西师大	2015	48	100	2
52	9787535478085	人间有味是清欢	于丹	长江文艺	2015	39.8	100	2
53	9787101099164	世界历史年表	李亚凡	中华书局	2014	39	100	2
54	9787542862013	农学的足迹	沈志忠	上海科教	2015	49.8	100	2
55	9787508643656	读懂中国改革	厉以宁	中信	2013	45	100	2
56	9787508649887	万达哲学:王健林首次自述经营之道	王健林	中信	2015	49	100	2
57	9787508647661	读懂中国改革.2:寻找改革突破口	吴敬琏周其仁	中信	2014	48	100	2
58	9787508652696	世界秩序	基辛格	中信	2015	68	100	2
59	9787108052629	秦崩:从秦始皇到刘邦	李开元	三联书店	2015	45	100	2
60	9787108009821	万历十五年	黄仁宇	三联书店	2014	26	100	2
61	9787301270363	迪士尼体验:米奇王国的魔法服务之道	美国迪士尼学院.齐尼	北京大学	2016	42	100	2
62	9787300213507	课堂上究竟发生了什么	吴非	人民大学	2015	38	100	2
63	9787506083799	拯救中国制造业:产业链理论实践案例全三册 	郎咸平	人民	2015	98	100	2
64	9787101053982	于丹<论语>心得	于丹	中华书局	2006	20	100	2
65	9787508651750	机器人时代	福特	中信	2015	49	100	2
66	9787508645568	逃离不平等:健康.财富及不平等的起源	迪顿	中信	2014	58	100	2
67	9787116082243	温家宝地质笔记	温家宝	地质	2016	128	100	2
68	9787508647913	我的应许之地:以色列的荣耀与悲情	沙维特	中信	2016	68	100	2
69	9787508657189	伊斯兰国简论	利斯特	中信	2016	35	100	2
70	9787508660455	硅谷钢铁侠--埃隆·马斯克的冒险人生	万斯	中信	2016	68	100	2
71	9787508646640	创业维艰:如何完成比难更难的事	霍洛维茨	中信	2015	49	100	2
72	9787503465918	正义的可能	周濂	中国文史	2015	42	100	2
73	9787539981697	成龙:还没长大就老了	成龙	江苏文艺	2015	49.8	100	2
74	9787508658834	读懂中国改革.4--关键五年2016-2020	吴敬琏.厉以宁	中信	2016	49	100	2
75	9787508648194	智慧城市:大数据.互联网时代的城市未来	汤森	中信	2014	49	100	2
76	9787313133137	改变世界经济地理的一带一路	葛剑雄.胡鞍钢	上海交大	2015	39	100	2
77	9787546150611	大国合作的试验--盟国对德管制委员会研究	孟钟捷	黄山书社	2015	45	100	2
78	9787513904797	新常态改变中国:首席经济学家谈大趋势	胡舒立	民主与建设	2012	39.8	100	2
79	9787508661049	分享经济:供给侧改革的新经济方案	马化腾	中信	2016	58	100	2
80	9787508645902	强权与铁腕--普京传	罗克斯伯勒	中信	2014	58	100	2
81	9787532771493	血疫:埃博拉的故事	理查德·普雷斯顿	上海译文	2016	45	100	2
82	9787513320122	西风东土:两个世界的挫折	熊培云	新星	2016	59	100	2
83	9787539979878	晓松奇谈.第1卷	高晓松	江苏文艺	2015	42.8	100	2
84	9787300205434	大道之行:中国共产党与中国社会主义	鄢一龙.等	人民大学	2015	39	100	2
85	9787513905817	鱼羊野史.第3卷	高晓松	民主与建设	2015	39.8	100	2
86	9787111505327	理性乐观派:一部人类经济进步史	马特.里德利	机械工业	2015	69	100	2
87	9787513909846	匠人如神	本田宗一郎	民主与建设	2016	45	100	2
88	9787508643298	史蒂夫.乔布斯传修订版 	艾萨克森	中信	2014	68	100	2
89	9787309105810	钓鱼岛历史真相	韩结根	复旦大学	2014	39	100	2
90	9787568013369	观复	腾讯今日话题编辑部	同济大学	2016	55	100	2
91	9787540466206	鱼羊野史.第1卷	高晓松	湖南文艺	2014	39.8	100	2
92	9787508642895	新金融秩序	席勒	中信	2013	59	100	2
93	9787108048356	毛泽东阅读史	陈晋	三联书店	2014	39	100	2
94	9787313123336	蠡园惊梦	曹可凡等	上海交大	2015	49	100	2
95	9787542654267	被误解的日本人	野岛刚	上海三联	2016	35	100	2
96	9787508658124	供给侧改革引领十三五	吴敬琏	中信	2016	49	100	2
97	9787545520262	红船	黄亚洲	天地	2016	68	100	2
98	9787508656359	褚时健传	周桦	中信	2016	58	100	2
99	9787508658339	商业的本质	韦尔奇.韦尔奇	中信	2016	49	100	2
100	9787508648040	默克尔传	柯内琉斯	中信	2014	59	100	2
101	9787300223766	互联网生态:重构商业规则	喻晓马.程宇宁	人民大学	2016	48	100	2
102	9787535774705	大人孩子都能懂的时间简史	泡爸	湖南科技	2013	28	100	2
103	9787550278035	谁偷走了我的客户?	哈维.汤普森	北京联合	2016	46	100	2
104	9787213072307	第四次革命--人工智能如何重塑人类现实	弗洛里迪	浙江人民	2016	64.9	100	2
105	9787540468361	鱼羊野史.第2卷	高晓松	湖南文艺	2014	39.8	100	2
106	9787556106332	萤火虫在中国	付新华		2015	42	100	2
107	9787564219239	时寒冰说:未来二十年-经济大趋势现实篇 	时寒冰	上海财大	2014	49.8	100	2
108	9787508663401	中国震撼珍藏版 	张维为	中信	2016	45	100	2
109	9787300215143	毛泽东传:插图本上下册 	潘佐夫	人民大学	2015	139	100	2
110	9787539284910	世界是部金融史	陈雨露.杨栋	江西教育	2016	48	100	2
111	9787301258910	西方那块土:钱乘旦讲西方文化通论	钱乘旦	北京大学	2015	55	100	2
112	9787508652689	下一个倒下的会不会是华为:故事.哲学与华为的兴衰逻辑	田涛吴春波	中信	2015	58	100	2
113	9787539984476	你一年的8760小时	艾力	江苏文艺	2015	35	100	2
114	9787508657806	大国雄心	雅克	中信	2016	88	100	2
115	9787508657431	钓愚:操纵与欺骗的经济学	阿克洛夫.席勒	中信	2016	59	100	2
116	9787300227221	办好中国的事情-关键在党	李君如	人民大学	2016	38	100	2
117	9787208128644	在火星上退休--伊隆.马斯克传	杰佛逊	上海人民	2015	38	100	2
118	9787218108483	朱元璋传	张宏杰	广东人民	2016	42	100	2
119	9787508653594	重新定义公司:谷歌是如何运营的	施密.罗森伯格	中信	2015	49	100	2
120	9787111527367	中国制造2025:产业互联网开启新工业革命	夏妍娜.赵胜	机械工业	2016	49	100	2
121	9787511868336	寻找现代中国:穿越法政与历史的对谈	高全喜	法律	2014	35	100	2
122	9787100112758	秩序的沦陷:抗战初期的江南五城	卜正民	商务印书馆	2015	29	100	2
123	9787213065842	智慧社会:大数据与社会物理学	彭特兰	浙江人民	2015	56.9	100	2
124	9787214173881	他者中的华人--中国近现代移民史	孔飞力	江苏人民	2016	60	100	2
125	9787313144171	我还是喜欢东京--带你感受城市细节	穆知.赵斌玮	上海交大	2016	49.8	100	2
126	9787511721785	民主的边界	 美)夏皮罗. 美)海克考登	中央编译	2016	68	100	2
127	9787010157993	美国的焦虑:一位智库学者对美国的调研手记	王文	人民	2016	52	100	2
128	9787300220765	不平等经济学第七版 	皮凯蒂	人民大学	2016	49	100	2
129	9787547309339	张居正全四卷 	熊召政	东方出版中心	2016	99.8	100	2
130	9787516410509	麦肯锡思维	洛威茨	企业管理	2015	39.8	100	2
131	9787544276597	丈量世界	丹尼尔.凯曼	南海	2015	39.5	100	2
132	9787511719843	如何改变世界:马克思和马克思主义的传奇	 英)霍布斯鲍姆	中央编译	2014	88	100	2
133	9787213045141	翻转世界:互联网思维与新技术如何改变未来	比尔顿	浙江人民	2014	49.9	100	2
134	9787505995550	我们这个时代的怕和爱	陈丹青	中国文联	2015	39.8	100	2
135	9787556400874	人生不设限	胡哲		2015	32.8	100	2
136	9787508650838	隐性动机	格尼兹李斯特	中信	2015	49	100	2
137	9787508659183	极简人类史：从宇宙大爆炸到21世纪	克里斯蒂安	中信	2016	38	100	2
138	9787552008937	大宇宙	陈坤	上海社科院	2015	48	100	2
139	9787544278867	我的晃荡的青春	东野圭吾	南海	2015	35	100	2
140	9787516412794	网红经济--移动互联网时代的千亿红利时代	袁国宝.谢利明	企业管理	2016	42	100	2
141	9787532769117	汤姆斯河--一个美国癌症村的故事	费金	上海译文	2015	59	100	2
142	9787513905855	你在忙什么	索达吉堪布	民主与建设	2015	39.9	100	2
143	9787100118170	发现最美的鸟	凯茨比	商务印书馆	2016	98	100	2
144	9787515512969	科比:黄金年代1996-2016 	张佳玮	金城	2016	59.8	100	2
145	9787535486769	帝国之弧	乔良	长江文艺	2016	39.8	100	2
146	9787121286674	我看电商.2	黄若	电子工业	2016	39	100	2
147	9787506379236	苦难辉煌全新修订增补版 	金一南	作家	2015	58	100	2
